RESPNUM,CCGID,TERM,STRATA,ATYPE,AIRLINE,DEST,GATENUM,INTDATE,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3A,Q4A,Q4B,Q4C,Q5,Q5AVG,SAQ,Q6A,Q6B,Q6C,Q6D,Q6E,Q6F,Q6G,Q6H,Q6I,Q6J,Q6K,Q6L,Q6M,Q6N,Q7COM1,Q7COM2,Q7COM3,Q7A1,Q7A2,Q7A3,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q8COM1,Q8COM2,Q8COM3,Q9,Q9APOS1,Q9APOS2,Q9APOS3,Q9ANEG1,Q9ANEG2,Q9ANEG3,Q9ANTR1,Q9ANTR2,Q9ANTR3,Q10,Q11,Q11A1,Q11A2,Q11A3,Q12,Q13A,Q13B,Q13_COM,Q13COM1,Q13COM2,Q13COM3,Q14,Q14A,Q14A1,Q14A2,Q14A3,Q15,SFFLAG,COUNTRY,Q17,AGE,Q18,Q19,INC,MAIL,LANG,DESTMARK,DESTINATION,DESTGEO,WEIGHT,Location 1
2371,2470,1,2,1,6,2,20,8,2,3,8,,,,,1,11,,,,,1,2,1,1,3,4.5,2,4,3,3,3,3,2,6,6,3,1,6,3,6,3,35,,,,,,3,2,6,6,3,3,,,,4,,,,,,,,,,3,,,,,6,3,4,,,,,1,,7,,,1,12,62,5,49.5,1,0,,1,1,2,PORTLAND,1,1.013018,
2372,2471,1,2,1,6,2,20,8,2,1,8,,,,,5,11,,,,,9,2,2,2,2,2,2,6,3,6,3,2,3,6,6,6,6,4,6,6,3,73,,,,,,3,6,4,6,3,3,,,,4,,,,,,,,,,2,,,,,5,3,3,,,,,0,,,,,2,4,62,3,29.5,1,3,125000,1,1,2,PORTLAND,1,1.013018,
2373,2472,1,2,1,6,2,20,8,2,5,8,,,,,5,11,,,,,9,1,1,1,1,1,2,6,3,3,4,4,4,5,5,6,6,4,6,6,4,5,,,,,,3,6,5,6,3,3,,,,4,,,,,,,,,,2,,,,,5,5,5,,,,,2,,,,,2,4,62,6,59.5,2,2,75000,1,1,2,PORTLAND,1,1.013018,
2374,2473,1,2,1,6,2,20,8,2,5,8,,,,,5,11,,,,,9,1,1,1,1,1,2,0,3,3,3,4,4,6,6,6,6,5,6,6,3,,,,,,,4,6,5,6,5,4,,,,4,5,,,,,,,,,2,,,,,5,0,0,,,,,2,,,,,2,4,62,6,59.5,2,3,125000,1,1,2,PORTLAND,1,1.013018,
2401,2339,2,2,1,30,2,3,10,2,3,8,,,,,2,11,,,,,9,2,2,2,3,4.5,2,5,5,5,5,5,5,5,5,5,4,4,4,4,5,,,,,,,4,3,3,3,3,3,,,,3,,,,,,,,,,2,,,,,6,3,3,,,,,2,,,,,2,4,62,7,75,2,3,125000,1,1,4,LAS VEGAS,1,0.636476,
2402,2047,2,1,1,30,2,3,10,2,1,8,,,,,1,11,,,,,3,2,2,1,3,4.5,1,5,3,3,5,5,5,6,6,5,5,5,5,6,4,35,53,,,,,5,5,5,6,4,5,,,,5,5,,,,,,,,,2,,,,,3,4,5,,,,,2,,,,,1,14,62,6,59.5,1,2,75000,1,1,4,LAS VEGAS,1,0.636476,
2403,2048,2,1,1,30,2,3,10,2,2,8,,,,,2,11,,,,,9,1,2,1,1,1,2,4,5,3,1,3,2,6,4,5,6,6,6,6,3,51,,,,,,4,6,6,6,5,5,,,,5,,,,,,,,,,2,,,,,2,1,4,,,,,1,,3,,,1,11,62,5,49.5,2,2,75000,1,1,4,LAS VEGAS,1,0.636476,
2404,2049,2,1,1,30,2,3,10,2,1,8,,,,,4,11,,,,,9,2,2,2,4,9.5,2,4,3,3,4,4,4,6,6,3,3,4,3,3,4,,,,,,,4,3,4,3,4,4,,,,3,,,,,,,,,,1,3,,,,5,5,3,,,,,2,,,,,1,1,62,3,29.5,1,4,175000,1,1,4,LAS VEGAS,1,0.636476,
3638,2736,2,2,1,28,3,93,5,1,2,8,,,,,3,11,,,,,9,2,1,2,1,1,2,6,6,4,4,4,4,6,6,6,6,6,6,6,4,,,,,,,5,6,6,6,6,5,,,,3,,,,,,,,,,2,,,,,11,3,0,,,,,2,,,,,3,5,0,0,,0,0,,1,4,3,TOKYO,8,0.636476,
2405,2050,2,1,1,30,2,3,10,2,1,8,,,,,5,11,,,,,9,2,1,2,3,4.5,2,5,3,3,5,5,5,6,6,4,5,5,4,6,5,40,,,,,,5,6,5,6,3,4,,,,5,5,,,,,,,,,2,,,,,5,3,5,,,,,2,,,,,1,1,62,3,29.5,1,2,75000,1,1,4,LAS VEGAS,1,0.636476,
